file,truth,pred_label,pred_prob,p_Positive,p_Negative
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/147941199__00519.jpg,negative,Negative,0.9994435906410217,0.0005564428283832967,0.9994435906410217
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/147941199__00520.jpg,negative,Negative,1.0,1.3155667611656942e-18,1.0
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/147941199__00521.jpg,negative,Negative,1.0,1.2367969367025559e-14,1.0
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/147941199__00522.jpg,negative,Negative,1.0,4.692358168689736e-10,1.0
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/147941199__00523.jpg,negative,Negative,1.0,1.6832624974861404e-13,1.0
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/147941199__00524.jpg,negative,Negative,1.0,1.2723315456764084e-10,1.0
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/147941199__00525.jpg,negative,Negative,1.0,5.2385366877683026e-11,1.0
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/147941199__00526.jpg,negative,Negative,0.997479259967804,0.0025207120925188065,0.997479259967804
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/147941199__00527.jpg,negative,Negative,1.0,1.30465206848074e-14,1.0
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/147941199__00528.jpg,negative,Negative,1.0,1.1963658145749956e-12,1.0
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/147941199__00529.jpg,negative,Negative,1.0,1.1508849429020529e-12,1.0
/Users/yechank/Desktop/mm/project/CRC_Screening_Tool_v3/sample_data/tiles/negative/147941199__00530.jpg,negative,Negative,1.0,1.0655342386201028e-08,1.0
